Time,x_d,y_d,theta_d,v_d,delta_
8.39196,8.39196,-3,0,1,0
8.442211,8.442211,-3,0,1,0
8.492462,8.492462,-3,0,1,0
8.542714,8.542714,-3,0,1,0
8.592965,8.592965,-3,0,1,0
8.643216,8.643216,-3,0,1,0
8.693467,8.693467,-3,0,1,0
8.743719,8.743719,-3,0,1,0
8.79397,8.79397,-3,0,1,0
8.844221,8.844221,-3,0,1,0
8.894472,8.894472,-3,0,1,0
8.944724,8.944724,-3,0,1,0
8.994975,8.994975,-3,0,1,0
9.045226,9.045226,-3,0,1,0
9.095477,9.095477,-3,0,1,0
9.145729,9.145729,-3,0,1,0
9.19598,9.19598,-3,0,1,0
9.246231,9.246231,-3,0,1,0
9.296482,9.296482,-3,0,1,0
9.346734,9.346734,-3,0,1,0
9.396985,9.396985,-3,0,1,0
9.447236,9.447236,-3,0,1,0
9.497487,9.497487,-3,0,1,0
9.547739,9.547739,-3,0,1,0
9.59799,9.59799,-3,0,1,0
9.648241,9.648241,-3,0,1,0
9.698492,9.698492,-3,0,1,0
9.748744,9.748744,-3,0,1,0
9.798995,9.798995,-3,0,1,0
9.849246,9.849246,-3,0,1,0
9.899497,9.899497,-3,0,1,0
9.949749,9.949749,-3,0,1,0
10,10,-3,0,1,0
