Time,x_d,y_d,theta_d,v_d,delta_
6.248096,4.991093,1.804823,1.685733,1.024394,0.218669
6.298484,4.984179,1.856077,1.724045,1.024394,0.218669
6.348872,4.975306,1.907028,1.762357,1.024394,0.218669
6.39926,4.964489,1.957602,1.800669,1.024394,0.218669
6.449648,4.951742,2.007725,1.838981,1.024394,0.218669
6.500036,4.937085,2.057323,1.877293,1.024394,0.218669
6.550423,4.920539,2.106323,1.915605,1.024394,0.218669
6.600811,4.902128,2.154653,1.953917,1.024394,0.218669
6.651199,4.88188,2.202243,1.992229,1.024394,0.218669
6.701587,4.859824,2.249022,2.030542,1.024394,0.218669
6.751975,4.835992,2.294922,2.068854,1.024394,0.218669
6.802363,4.810419,2.339875,2.107166,1.024394,0.218669
6.852751,4.783143,2.383816,2.145478,1.024394,0.218669
6.903139,4.754205,2.42668,2.18379,1.024394,0.218669
6.953526,4.723645,2.468404,2.222102,1.024394,0.218669
7.003914,4.69151,2.508927,2.260414,1.024394,0.218669
7.054302,4.657847,2.54819,2.298726,1.024394,0.218669
7.10469,4.622704,2.586134,2.337038,1.024394,0.218669
7.155078,4.586134,2.622704,2.375351,1.024394,0.218669
7.205466,4.54819,2.657847,2.413663,1.024394,0.218669
7.255854,4.508927,2.69151,2.451975,1.024394,0.218669
7.306242,4.468404,2.723645,2.490287,1.024394,0.218669
7.356629,4.42668,2.754205,2.528599,1.024394,0.218669
7.407017,4.383816,2.783143,2.566911,1.024394,0.218669
7.457405,4.339875,2.810419,2.605223,1.024394,0.218669
7.507793,4.294922,2.835992,2.643535,1.024394,0.218669
7.558181,4.249022,2.859824,2.681847,1.024394,0.218669
7.608569,4.202243,2.88188,2.720159,1.024394,0.218669
7.658957,4.154653,2.902128,2.758472,1.024394,0.218669
7.709345,4.106323,2.920539,2.796784,1.024394,0.218669
7.759732,4.057323,2.937085,2.835096,1.024394,0.218669
7.81012,4.007725,2.951742,2.873408,1.024394,0.218669
7.860508,3.957602,2.964489,2.91172,1.024394,0.218669
7.910896,3.907028,2.975306,2.950032,1.024394,0.218669
7.961284,3.856077,2.984179,2.988344,1.024394,0.218669
8.011672,3.804823,2.991093,3.026656,1.024394,0.218669
8.06206,3.753341,2.996039,3.064968,1.024394,0.218669
8.112448,3.701709,2.999009,3.103281,1.024394,0.218669
8.162835,3.65,3,3.141593,1.024394,0.218669
8.213223,3.65,3,3.141593,1,-0
8.263611,3.599306,3,3.141593,1,-0
8.313999,3.548611,3,3.141593,1,-0
8.364387,3.497917,3,3.141593,1,-0
8.414775,3.447222,3,3.141593,1,-0
8.465163,3.396528,3,3.141593,1,-0
8.51555,3.345833,3,3.141593,1,-0
8.565938,3.295139,3,3.141593,1,-0
8.616326,3.244444,3,3.141593,1,-0
8.666714,3.19375,3,3.141593,1,-0
8.717102,3.143056,3,3.141593,1,-0
8.76749,3.092361,3,3.141593,1,-0
8.817878,3.041667,3,3.141593,1,-0
8.868266,2.990972,3,3.141593,1,-0
8.918653,2.940278,3,3.141593,1,-0
8.969041,2.889583,3,3.141593,1,-0
9.019429,2.838889,3,3.141593,1,-0
9.069817,2.788194,3,3.141593,1,-0
9.120205,2.7375,3,3.141593,1,-0
9.170593,2.686806,3,3.141593,1,-0
9.220981,2.636111,3,3.141593,1,-0
9.271369,2.585417,3,3.141593,1,-0
9.321756,2.534722,3,3.141593,1,-0
9.372144,2.484028,3,3.141593,1,-0
9.422532,2.433333,3,3.141593,1,-0
9.47292,2.382639,3,3.141593,1,-0
9.523308,2.331944,3,3.141593,1,-0
9.573696,2.28125,3,3.141593,1,-0
9.624084,2.230556,3,3.141593,1,-0
9.674472,2.179861,3,3.141593,1,-0
9.724859,2.129167,3,3.141593,1,-0
9.775247,2.078472,3,3.141593,1,-0
9.825635,2.027778,3,3.141593,1,-0
9.876023,1.977083,3,3.141593,1,-0
9.926411,1.926389,3,3.141593,1,-0
9.976799,1.875694,3,3.141593,1,-0
10.027187,1.825,3,3.141593,1,-0
10.077575,1.774306,3,3.141593,1,-0
10.127962,1.723611,3,3.141593,1,-0
10.17835,1.672917,3,3.141593,1,-0
10.228738,1.622222,3,3.141593,1,-0
10.279126,1.571528,3,3.141593,1,-0
10.329514,1.520833,3,3.141593,1,-0
10.379902,1.470139,3,3.141593,1,-0
10.43029,1.419444,3,3.141593,1,-0
10.480678,1.36875,3,3.141593,1,-0
10.531065,1.318056,3,3.141593,1,-0
10.581453,1.267361,3,3.141593,1,-0
10.631841,1.216667,3,3.141593,1,-0
10.682229,1.165972,3,3.141593,1,-0
10.732617,1.115278,3,3.141593,1,-0
10.783005,1.064583,3,3.141593,1,-0
10.833393,1.013889,3,3.141593,1,-0
10.883781,0.963194,3,3.141593,1,-0
10.934168,0.9125,3,3.141593,1,-0
10.984556,0.861806,3,3.141593,1,-0
11.034944,0.811111,3,3.141593,1,-0
11.085332,0.760417,3,3.141593,1,-0
11.13572,0.709722,3,3.141593,1,-0
11.186108,0.659028,3,3.141593,1,-0
11.236496,0.608333,3,3.141593,1,-0
11.286883,0.557639,3,3.141593,1,-0
11.337271,0.506944,3,3.141593,1,-0
11.387659,0.45625,3,3.141593,1,-0
11.438047,0.405556,3,3.141593,1,-0
11.488435,0.354861,3,3.141593,1,-0
11.538823,0.304167,3,3.141593,1,-0
11.589211,0.253472,3,3.141593,1,-0
11.639599,0.202778,3,3.141593,1,-0
11.689986,0.152083,3,3.141593,1,-0
11.740374,0.101389,3,3.141593,1,-0
11.790762,0.050694,3,3.141593,1,-0
11.84115,0,3,3.141593,1,-0
